company,paddle,thinkness,power_percentile,spin_percentile,twist_percentile,balance_percentile,swing_percentile,pop_percentile,shape,face_material,handle_length,spin_rpm,swing_weight,twist_weight,core_material,surface_texture,length,width,static_weight,balance_point_cm,serve_speed_mph,punch_volley_speed
11Six24,Hurache Control,16,0.08,0.59,0.11,0.33,0.10,0.18,Elongated,Toray Carbon Fiber,5.5,"2,107",106,5.55,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,7.4,23.7,52.5,33.9
11Six24,Hurache-X Control,16,0.59,0.23,0.53,0.61,0.70,0.50,Elongated,Toray Carbon Fiber and Kevlar,6,"1,847",119,6.4,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,8.2,24.1,55.3,35
11Six24,Hurache-X Control+,14,0.66,0.77,0.37,0.48,0.50,0.86,Elongated,Toray Carbon Fiber,6,"2,203",115.4,6.15,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,8.2,23.9,55.6,36.1
11Six24,Hurache-X Control+,16,0.64,0.35,0.46,0.67,0.64,0.69,Elongated,Toray Carbon Fiber and Fiberglass,6,"1,956",117.4,6.3,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,8,24.2,55.5,35.4
11Six24,Monarch All Court,16,0.86,0.66,0.98,0.29,0.30,0.42,Wide Body,Toray Carbon Fiber,5.75,"2,131",111.2,7.36,Polypropylene Honeycomb,Peel Ply-Coarse,15.8,8.2,8.2,23.6,56.2,34.8
11Six24,Monarch Control,16,0.59,0.50,0.98,0.21,0.28,0.54,Wide Body,Kevlar 3K Cloth,5.75,"2,051",110.2,7.37,Polypropylene Honeycomb,Peel Ply-Coarse,15.8,8.2,8.2,23.4,55.3,35.1
11Six24,Monarch Jelly Bean,16,0.24,0.79,0.88,0.33,0.17,0.13,Wide Body,Toray Carbon Fiber,5.75,"2,209",107.2,7.09,Polypropylene Honeycomb,Peel Ply-Coarse,15.8,8.2,7.9,23.7,53.7,33.6
Ace,Heart,14,0.66,0.85,0.24,0.74,0.52,0.36,Elongated,T700 Carbon Fiber,7.5,"2,260",115.7,5.8,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,16.5,7.8,24.3,55.6,34.6
Bird,Ball Hawk Classic,14,0.02,0.57,0.87,0.24,0.10,0.04,Standard,T700 Carbon Fiber,4.75,"2,099",106,7.05,Polypropylene Honeycomb,Peel Ply-Coarse,16,8,7.9,23.5,51.3,32.4
Bird,Falcon Elite Ergo,14,0.13,0.19,,0.00,,0.01,Ergo,T700 Carbon Fiber,,"1,806",,,Polypropylene Honeycomb,Peel Ply-Coarse,14.5,8,8.7,18.9,52.8,31
Bread & Butter,Drip Contender,16,,0.00,,,,,Elongated,T700 Carbon Fiber,5,"1,017",,,Polypropylene Honeycomb,Grit,16.4,7.5,8.3,,,
Bread & Butter,Drip Verge,16,,0.00,,,,,Elongated,T700 Carbon Fiber,5,"1,046",,,Polypropylene Honeycomb,Grit,16.4,7.5,8.3,,,
Bread & Butter,Fat Boy,16,0.34,0.52,0.90,0.24,0.18,0.87,Wide Body,3K Kevlar-Carbon Fiber Weave,5.3,"2,069",107.8,7.11,Polypropylene Honeycomb,Peel Ply-Coarse,15.9,8.1,8,23.5,54.4,36.3
Bread & Butter,Filth,16,0.57,0.27,0.42,0.67,0.78,0.74,Elongated,T700 Carbon Fiber,5.5,"1,865",121,6.2,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.4,7.9,24.2,55.2,35.6
Bread & Butter,Loco,16,0.39,0.56,0.34,0.61,0.40,0.59,Hybrid,T700 Carbon Fiber,5.3,"2,091",113.7,6.1,Polypropylene Honeycomb,Peel Ply-Coarse,16.3,7.7,7.7,24.1,54.6,35.2
Bread & Butter,Shogun,16,0.51,0.43,0.36,0.81,0.83,0.84,Elongated,T700 Carbon Fiber & Titanium,5.5,"2,004",121.6,6.13,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.4,8.2,24.5,55,36
Bread & Butter,Spear Breakout,13,,0.03,,,,,Standard,T700 Carbon Fiber,5,"1,156",,,Polypropylene Honeycomb,Grit,15.9,7.9,7.6,,,
Bread & Butter,Spear Juno,16,,0.01,,,,,Standard,T700 Carbon Fiber,5,"1,081",,,Polypropylene Honeycomb,Grit,15.9,7.9,7.6,,,
Cheetah,Predion E16 Edgeless,16,0.13,0.09,0.08,0.17,0.10,0.29,Elongated,3K Woven Carbon Fiber,5.5,"1,556",106,5.37,Aramid Fiber Honeycomb,Grit,16.5,7.5,7.7,23.3,52.8,34.3
Cheetah,Predion E16-with lead tape,16,0.28,0.09,0.93,0.24,0.46,0.29,Elongated,3K Woven Carbon Fiber,5.5,"1,556",115,7.23,Aramid Fiber Honeycomb,Grit,16.5,7.5,8.4,23.5,54.1,34.3
Chorus,Shapeshifter,16,0.73,0.66,0.67,0.61,0.59,0.64,Hybrid,18K Toray Carbon Fiber,5.3,"2,139",116.7,6.61,Polypropylene Honeycomb,Peel Ply-Coarse,16.3,7.8,8.1,24.1,55.7,35.3
Chorus,Shapeshifter with 5 grams tungsten tape,16,0.79,0.66,0.86,0.33,0.66,0.59,Hybrid,18K Toray Carbon Fiber,5.3,"2,139",117.8,7,Polypropylene Honeycomb,Peel Ply-Coarse,16.3,7.8,8.4,23.7,55.9,35.2
Chorus,Shapeshifter with 5 grams tungsten tape & 28-gram Slyce cap,16,0.81,0.66,0.90,0.02,0.82,0.76,Hybrid,18K Toray Carbon Fiber,5.3,"2,139",121.3,7.11,Polypropylene Honeycomb,Peel Ply-Coarse,16.3,7.8,9.3,21.8,56,35.7
Core,Reaction Pro Elongated,16,0.34,0.26,0.32,0.93,0.94,0.18,Elongated,T700 Carbon Fiber,5.8,"1,863",125.4,6.03,Polypropylene Honeycomb,Peel Ply-Fine,16.5,7.4,8.2,24.8,54.4,33.9
Core,Reaction Pro Standard,16,0.22,0.30,0.94,0.42,0.34,0.20,Standard,T700 Carbon Fiber,5.13,"1,892",111.7,7.25,Polypropylene Honeycomb,Peel Ply-Fine,15.8,8,8.2,23.8,53.5,34
CRBN,CRBN 1X,14,0.42,0.83,0.23,0.67,0.53,0.31,Elongated,Toray Carbon Fiber,5.5,"2,244",116,5.78,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.3,8,24.2,54.7,34.4
CRBN,CRBN 2X,16,0.22,0.38,0.99,0.24,0.25,0.31,Standard,Toray Carbon Fiber,4.75,"1,975",110,7.5,Polypropylene Honeycomb,Peel Ply-Coarse,15.8,8,8,23.5,53.5,34.4
CRBN 1,CRBN1 Control,14,,0.71,,,,,Elongated,T700 Carbon Fiber,5.5,"2,171",,,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.3,7.9,,,
CRBN 1,CRBN1 Control (USAP-Banned 2021),14,,0.35,,,,,Elongated,T700 Carbon Fiber,5.5,"1,943",,,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.3,7.9,,,
Diadem,Edge 18K,16,0.17,0.92,0.45,0.61,0.84,0.22,Elongated,18k Carbon Fiber,5.3,"2,304",122,6.25,Polypropylene Honeycomb,Peel Ply-Coarse,16.4,7.5,7.9,24.1,53,34.1
Diadem,Hush,18,1.00,1.00,0.03,0.81,0.90,0.99,Elongated,Thermoplastic Polyurethane,5.6,"2,776",122.7,5.13,Carbon fiber frame with BASF materials,Textured polyurethane,16.5,7.2,8.3,24.5,62,38.3
Diadem,Icon V2 XL,13.7,0.30,0.13,0.15,0.81,0.92,0.50,Standard,Carbon Fiber (Japanese-Sourced),5.25,"1,718",125,5.69,Polypropylene Honeycomb (2 sheets),Grit,16,7.6,8.2,24.5,54.2,35
Diadem,Vice,16,0.98,0.18,0.19,,0.41,0.16,Elongated,Carbon Fiber,5.3,"1,789",114,5.73,EVA Foam,Grit,16.4,7.4,7.9,,59,33.8
Diadem,Warrior,19,0.09,0.16,0.94,0.91,1.00,0.01,Elongated,Carbon Fiber,5.3,"1,744",133,7.25,Polypropylene + Aramid,Grit,16.4,7.4,8.6,24.7,52.6,31
Dymon,Mayhem,16,0.84,0.97,0.47,0.42,0.29,0.76,Elongated,Toray Carbon Fiber,4.25,"2,366",110.6,6.31,Kevlar honeycomb,Peel Ply-Coarse,16.5,7.5,7.8,23.8,56.1,35.7
Electrum,Model E,16,,0.10,0.77,,0.84,,Elongated,Toray Carbon Fiber,5.25,"1,575",122,6.8,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.4,8.2,,,
Electrum,Model E Elite,16,0.73,0.46,0.91,0.91,0.91,0.76,Elongated,Toray Carbon Fiber,5.25,"2,028",124,7.14,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.4,8.4,24.7,55.7,35.7
Electrum,Model E Stealth,16,0.66,0.19,0.01,0.17,0.15,0.74,Elongated,Toray Carbon Fiber,5.38,"1,810",107,5,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.3,7.7,23.3,55.6,35.6
Electrum,Model E Stealth-with 0.5 oz. lead tape,16,0.51,0.19,0.34,0.14,0.22,0.50,Elongated,Toray Carbon Fiber,5.38,"1,810",109,6.1,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.3,8.2,23.2,55,35
Electrum,Pro II,11,0.01,0.56,0.75,0.33,0.10,0.29,Standard,Toray Carbon Fiber,5.25,"2,089",106,6.75,Polypropylene Honeycomb,Peel Ply-Coarse,16,8,7.6,23.7,51,34.3
Electrum,Pro II Stealth,12,0.17,0.77,0.01,0.12,0.00,0.90,Standard,Toray Carbon Fiber,5.25,"2,204",93,4.83,Polypropylene Honeycomb,Peel Ply-Coarse,16,7.8,7,23.1,53.1,36.4
Electrum,Pro II Stealth-with 0.5 oz. lead tape,12,0.51,0.77,0.49,0.09,0.02,0.84,Standard,Toray Carbon Fiber,5.25,"2,204",97,6.35,Polypropylene Honeycomb,Peel Ply-Coarse,16,7.8,7.5,22.8,55,36
Electrum,Pro Stealth,12,0.09,0.34,0.13,0.03,0.00,0.86,Wide Body,Toray Carbon Fiber,5,"1,927",92,5.63,Polypropylene Honeycomb,Peel Ply-Coarse,15.6,8.3,7.3,22.5,52.6,36.1
Electrum,Pro Stealth-with 0.5 oz. lead tape,12,0.51,0.34,0.82,0.03,0.00,0.76,Wide Body,Toray Carbon Fiber,5,"1,927",93,6.9,Polypropylene Honeycomb,Peel Ply-Coarse,15.6,8.3,7.3,22.3,55,35.7
Engage,Evolution Extreme V2.14,14,0.18,0.32,0.51,0.77,0.65,0.40,Elongated,Toray Carbon Fiber,5.25,"1,915",117.7,6.38,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,8,24.4,53.2,34.7
Engage,Evolution Extreme V2.16,16,0.39,0.55,0.71,0.81,0.83,0.31,Elongated,Toray Carbon Fiber,5.25,"2,082",121.8,6.66,Polypropylene Honeycomb,Peel Ply-Coarse,16.4,7.5,8.2,24.5,54.6,34.4
Engage,Pursuit EX 6.0 Maxx,16,0.30,0.12,0.99,0.81,0.51,0.64,Elongated,Toray Carbon Fiber,5,"1,666",115.6,7.43,Polypropylene Honeycomb,Frosted RCF,16,8,8,24.5,54.2,35.3
Engage,Pursuit EX 6.0 Pro,16,0.51,0.85,0.96,0.24,0.45,0.87,Elongated,Toray Carbon Fiber,5,"2,260",114.7,7.32,Polypropylene Honeycomb,Peel Ply-Coarse,16,8,8.1,23.5,55,36.3
Engage,Pursuit EX Pro,13,0.48,0.97,0.95,0.33,0.54,0.93,Elongated,Toray Carbon Fiber,5,"2,366",116.2,7.29,Polypropylene Honeycomb,Peel Ply-Coarse,16,8,8.2,23.7,54.9,36.6
Engage,Pursuit MX 6.0 Maxx,16,0.84,0.13,0.24,0.67,0.54,0.59,Elongated,Toray Carbon Fiber,5.75,"1,716",116.2,5.8,Polypropylene Honeycomb,Frosted RCF,16.5,7.5,7.8,24.2,56.1,35.2
Engage,Pursuit MX 6.0 Pro,16,0.87,0.85,0.69,0.98,0.98,0.69,Elongated,Toray Carbon Fiber,5.75,"2,258",129.1,6.65,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,8.1,25.3,56.3,35.4
Engage,Pursuit MX Pro,13,0.86,0.87,0.26,0.61,0.73,0.87,Elongated,Toray Carbon Fiber,5.75,"2,264",119.3,5.85,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,8,24.1,56.2,36.3
Engage,Pursuit Pro 1 6.0-Light,16,0.88,0.79,0.20,0.33,0.49,0.69,Elongated,Toray Carbon Fiber,5.88,"2,207",115.2,5.75,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,7.7,23.7,56.4,35.4
Engage,Pursuit Pro 1-Light,13,0.81,0.74,0.11,0.17,0.24,0.72,Elongated,Toray Carbon Fiber,5.88,"2,178",109.5,5.57,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,7.7,23.3,56,35.5
Franklin,Ben Johns Signature,13,,0.05,,,0.76,,Elongated,Fiberglass,5.5,"1,267",120,,Polypropylene Honeycomb,Grit,16.5,7.3,8.1,,,
Franklin,Carbon STK,14.5,0.04,0.05,0.22,0.88,0.66,0.00,Elongated,Carbon Fiber,4.25,"1,251",118,5.76,Polypropylene Honeycomb,Unknown,16.5,7.5,7.6,24.6,51.7,30.9
Gamma,Airbender,10,0.73,0.41,0.02,0.24,0.30,0.80,Elongated,Toray Carbon Fiber,5.5,"1,988",111.2,5.08,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.4,8.1,23.5,55.7,35.8
Gamma,Airbender,13,0.76,0.59,0.05,0.29,0.40,0.59,Elongated,Toray Carbon Fiber,5.5,"2,107",113.8,5.24,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.4,8.1,23.6,55.8,35.2
Gamma,Airbender,16,0.61,0.31,0.11,0.17,0.50,0.22,Elongated,Toray Carbon Fiber,5.38,"1,903",115.3,5.57,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.4,8.5,23.3,55.4,34.1
Gamma,Obsidian 10,10,0.42,0.42,0.22,0.77,0.67,0.72,Elongated,Toray Carbon Fiber,5.75,"1,992",118.3,5.77,Polypropylene Honeycomb,Peel Ply-Coarse,16.4,7.6,8,24.4,54.7,35.5
Gamma,Obsidian 13,13,0.55,0.25,0.31,0.42,0.36,0.59,Elongated,Toray Carbon Fiber,5.75,"1,854",112.2,6,Polypropylene Honeycomb,Peel Ply-Coarse,16.4,7.6,7.9,23.8,55.1,35.2
Gamma,Obsidian 16,16,0.76,0.28,0.57,0.81,0.75,0.31,Elongated,Toray Carbon Fiber,5.75,"1,877",119.6,6.46,Polypropylene Honeycomb,Peel Ply-Coarse,16.4,7.6,8.1,24.5,55.8,34.4
Gearbox,CX11E Power,14,0.00,0.08,0.00,,0.03,0.02,Elongated,3K Woven Carbon Fiber,5.38,"1,480",98,4.69,Toray T700 Carbon Fiber,Grit,16.6,8,7.8,,47.8,31.5
Gearbox,CX14E,14,,0.08,0.00,,0.05,,Elongated,3K Woven Carbon Fiber,5.38,"1,523",101,4.32,Toray T700 Carbon Fiber,Grit,16.6,7.4,8,,,
Gearbox,CX14H Ultimate Power,14,0.01,0.37,0.23,0.02,0.15,0.06,Standard,3K Woven Carbon Fiber,5.38,"1,962",107,5.78,Toray T700 Carbon Fiber,Grit,15.6,8,8.5,22,51.1,33.1
Gearbox,G2 Elongated,14,0.34,0.46,0.07,0.99,0.90,0.05,Elongated,Carbon Fiber; Fiberglass,5.5,"2,030",122.9,5.35,Polypropylene Honeycomb,Grit,16.5,7.4,7.9,25.4,54.4,32.7
Gearbox,G2 Integra,14,0.30,0.62,0.14,0.81,0.38,0.05,Hybrid,Carbon Fiber; Fiberglass,5.5,"2,113",113.3,5.64,Polypropylene Honeycomb,Grit,16,7.4,7.9,24.5,54.2,32.6
Gearbox,G2 Quad,14,0.20,0.66,0.45,0.33,0.20,0.08,Standard,Carbon Fiber; Fiberglass,4.75,"2,139",108,6.23,Polypropylene Honeycomb,Grit,15.9,8,7.9,23.7,53.3,33.4
Gearbox,Pro Control Elongated,14,0.81,0.65,0.02,0.96,0.84,0.54,Elongated,Toray Carbon Fiber,5.5,"2,130",122,5.07,Toray Carbon Fiber,Peel Ply-Coarse,16.5,7.4,8.1,25,56,35.1
Gearbox,Pro Control Fusion,14,0.76,0.56,0.03,0.81,0.46,0.69,Hybrid,Toray Carbon Fiber,5.5,"2,091",115,5.14,Toray Carbon Fiber,Peel Ply-Coarse,16,7.4,8,24.5,55.8,35.4
Gearbox,Pro Power Elongated,14,0.96,0.51,0.04,0.95,0.76,0.93,Elongated,Toray Carbon Fiber,5.5,"2,062",120,5.22,Toray Carbon Fiber,Peel Ply-Coarse,16.5,7.4,8,24.9,57.7,36.6
Gearbox,Pro Power Elongated with 10 grams tungsten,14,0.99,0.21,0.15,0.74,0.84,0.97,Elongated,Toray Carbon Fiber,5.5,"1,827",122,5.67,Toray Carbon Fiber,Peel Ply-Coarse,16.5,7.4,8.5,24.3,61.3,37.4
