Paddle Name,Brand,Price,Year Released,Shape,Face Material,Grit Type,Build Type,Paddle Type,Core Thickness (mm),Handle Length (in),Weight (oz),Spin Rating,Spin (RPM),Swingweight,Swingweight Percentile,Twistweight,Twistweight Percentile,Balance Point (mm),Power (MPH),Power Percentile,Pop (MPH),Pop Percentile,Link to Paddle,Discount Code
Hurache-X Control +,11SIX24,$139.99,2024,Elongated,Carbon/Fiberglass,Raw Texture/Peel Ply,Gen 2,All-Court,16,6.00,7.94,High,1940,117,56%,6.32,48%,240,53.6,60%,33.9,56%,https://a8qh.short.gy/HX,10EFFECT
Hurache-X Control 14,11SIX24,$149.99,2024,Elongated,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,,14,6.00,8.16,,,117,56%,6.26,44%,238,,,,,https://a8qh.short.gy/11HC14,10EFFECT
Hurache-X Control 16,11SIX24,$149.99,2024,Elongated,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,,16,6.00,7.95,,,116,50%,6.36,51%,238,,,,,https://a8qh.short.gy/K16,10EFFECT
Monarch All Court,11SIX24,$139.99,2024,Widebody,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.75,8.10,Very High,1976,110,16%,7.40,97%,235,53.5,55%,34.0,58%,https://a8qh.short.gy/MAC,10EFFECT
Monarch Control,11SIX24,$139.99,2024,Widebody,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.75,8.16,Very High,1977,111,20%,7.44,98%,233,52.5,28%,33.6,43%,https://a8qh.short.gy/MC,10EFFECT
Monarch Control (14mm),11SIX24,$149.99,2024,Widebody,Carbon/Kevlar,Raw Texture/Peel Ply,Gen 2,All-Court,14,5.75,8.08,Very High,1990,112,24%,7.10,91%,234,53.3,50%,34.8,87%,https://a8qh.short.gy/C14,10EFFECT
Monarch Jelly Bean,11SIX24,$139.99,2024,Widebody,Carbon,Raw Texture/Peel Ply,Gen 1.5,Control,16,5.75,8.16,High,1950,111,20%,7.49,98%,236,52.8,34%,33.5,38%,https://a8qh.short.gy/JB,10EFFECT
Monarch Jelly Bean (14mm),11SIX24,$99.99,2024,Widebody,Carbon,Raw Texture/Peel Ply,Gen 1.5,Power,14,5.75,8.14,Very High,2011,111,20%,7.00,88%,235,53.8,67%,34.5,77%,https://a8qh.short.gy/JB14,10EFFECT
Club,Ace,$139.99,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,,16,5.30,8.27,,,123,86%,6.83,81%,243,,,,,,
Diamond,Ace,$219.99,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,,10,5.50,7.12,,,108,9%,5.04,1%,243,,,,,,
Heart,Ace,$189.99,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Control,14,5.50,7.88,Very High,2023,115,41%,5.96,27%,241,53.2,46%,33.2,27%,,
Ballr+,Babolat,$219.99,2024,Hybrid,Carbon,Paint Grit,Gen 2/Edgeless,All-Court,16,5.50,8.18,Medium,1881,112,24%,5.65,8%,234,53.5,55%,34.0,58%,https://a8qh.short.gy/BALLR,10EFFECT
Strkr+,Babolat,$219.99,2024,Extra-elongated,Carbon,Paint Grit,Gen 2/Edgeless,Power,13,5.50,8.05,Medium,1815,120,73%,5.43,4%,240,53.8,67%,33.9,56%,https://a8qh.short.gy/STRKR,10EFFECT
WZRD,Babolat,$219.99,2024,Widebody,Carbon,Paint Grit,Gen 2/Edgeless,Control,20,5.00,8.40,Medium,1837,105,3%,5.93,26%,223,53.2,46%,33.1,26%,https://a8qh.short.gy/WRZD,10EFFECT
X2 Lite,Body Helix,$160.00,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,6.00,8.12,High,1842,123,86%,6.32,48%,245,51.0,4%,31.8,1%,https://a8qh.short.gy/X2Lite,10EFFECT
X2 Pro,Body Helix,$180.00,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Power,19,6.00,8.88,High,1981,134,98%,6.74,75%,246,53.0,36%,32.8,15%,https://a8qh.short.gy/X2Pro,10EFFECT
X3 Lite,Body Helix,$160.00,2023,Elongated,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,6.00,8.25,High,1920,125,94%,6.03,31%,245,51.0,4%,32.8,15%,https://a8qh.short.gy/X3Lite,10EFFECT
X3 Pro,Body Helix,$180.00,2023,Elongated,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,Power,18,6.00,8.73,High,1949,132,98%,6.65,70%,246,52.8,34%,32.2,5%,https://a8qh.short.gy/X3Pro,10EFFECT
X4 Gold Kevlar,Body Helix,$140.00,2024,Hybrid,Kevlar,Raw Texture/Peel Ply,Gen 2,Power,16,5.25,8.10,Very High,1972,116,50%,6.63,69%,239,54.1,82%,34.9,91%,https://a8qh.short.gy/X4Gold,10EFFECT
Fat Boy,Bread & Butter,$189.99,2024,Widebody,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.30,8.17,High,1935,112,24%,7.29,96%,236,53.0,36%,34.5,77%,https://a8qh.short.gy/fatboy,15EFFECT
Filth,Bread & Butter,$165.00,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,8.07,High,1915,123,86%,6.24,43%,245,52.8,34%,33.2,27%,https://a8qh.short.gy/Filth,15EFFECT
Loco,Bread & Butter,$165.00,2023,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.30,7.70,High,1949,114,35%,6.20,41%,243,51.4,13%,33.0,22%,https://a8qh.short.gy/LOCO,15EFFECT
Shogun,Bread & Butter,$189.99,2024,Elongated,Titanium/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,8.18,High,1928,122,81%,6.20,41%,244,52.5,28%,33.4,34%,https://a8qh.short.gy/Shogun,15EFFECT
CRBN 1 Orginal (16 mm),CRBN,$179.99,2021,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Control,16,5.50,8.25,High,,118,64%,5.77,11%,238,,,,,https://a8qh.short.gy/crbn1,10EFFECT
CRBN 1X Power Series (14 mm),CRBN,$229.99,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Power,14,5.50,7.87,High,1917,118,64%,5.88,20%,243,52.4,27%,33.4,34%,https://a8qh.short.gy/crbn1x14,10EFFECT
CRBN 1X Power Series (16 mm),CRBN,$229.99,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,8.11,High,1915,124,91%,6.18,39%,244,53.1,42%,32.9,21%,https://a8qh.short.gy/crbn1x16,10EFFECT
CRBN 2 Orignal (16 mm),CRBN,$179.99,2021,Standard,Carbon,Raw Texture/Peel Ply,Gen 1,Control,16,4.75,7.94,High,,109,13%,7.03,89%,236,,,,,https://a8qh.short.gy/crbn2,10EFFECT
CRBN 2X Power Series (14 mm),CRBN,$229.99,2023,Standard,Carbon,Raw Texture/Peel Ply,Gen 2,Power,14,4.75,7.80,High,,105,3%,6.88,83%,232,,,,,https://a8qh.short.gy/crbn2x14,10EFFECT
CRBN 2X Power Series (16 mm),CRBN,$229.99,2023,Standard,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,4.75,8.20,High,,112,24%,7.75,100%,237,,,,,https://a8qh.short.gy/crbn2x16,10EFFECT
CRBN 3X Power Series (14 mm),CRBN,$229.99,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Power,14,5.25,7.87,High,,116,50%,6.39,53%,240,,,,,https://a8qh.short.gy/3x14,10EFFECT
CRBN 3X Power Series (16 mm),CRBN,$229.99,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.25,8.18,High,1920,119,70%,6.79,79%,241,53.0,36%,33.6,43%,https://a8qh.short.gy/crbn3x16,10EFFECT
Edge 18k,Diadem,$229.99,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.00,7.80,Very High,,117,56%,6.21,43%,244,,,,,https://a8qh.short.gy/E18K,10EFFECT
Edge 18k Speed Pro,Diadem,,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,14,5.70,8.03,,,124,91%,6.31,48%,249,,,,,https://a8qh.short.gy/PS14,10EFFECT
Icon V2 Standard,Diadem,$199.99,2023,Standard,Carbon,Paint Grit,Gen 1.5/Edgeless,Power,14,5.25,8.00,High,,106,6%,5.87,18%,230,,,,,https://a8qh.short.gy/V2S,10EFFECT
Icon V2 XL,Diadem,$199.99,2023,Elongated,Carbon,Paint Grit,Gen 1.5/Edgeless,Power,14,5.50,8.20,High,,122,81%,5.65,8%,241,,,,,https://a8qh.short.gy/V2XL,10EFFECT
Model E Elite,Electrum,$199.99,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.25,8.16,High,,121,77%,6.93,85%,243,,,,,https://a8qh.short.gy/Elite,10EFFECT
Pro 2,Electrum,$149.99,2022,Standard,Carbon,Raw Texture/Peel Ply,Gen 1,Power,11,5.25,8.30,Very High,,117,56%,7.15,93%,239,,,,,https://a8qh.short.gy/Pro2,10EFFECT
