Paddle Name,Brand,Price,Discount Code,Link to Paddle,Year Released,Shape,Face Material,Grit Type,Build Type,Paddle Type,Core Thickness (mm),Grip Length (in),Grip Size (in),Weight (oz),Spin Rating,Spin (RPM),Swingweight,Swingweight Percentile,Twistweight,Twistweight Percentile,Balance Point (mm),Power (MPH),Power Percentile,Pop (MPH),Pop Percentile
Hurache-X Control +,11SIX24,$139.99,PBEFFECT,https://a8qh.short.gy/HX,2024,Elongated,Carbon/Fiberglass,Raw Texture/Peel Ply,Gen 2,All-Court,16,6.00,4.13,7.94,High,1940,117,60%,6.32,46%,240,53.6,56%,33.9,54%
Hurache-X Jelly Bean 14mm,11SIX24,$104.99,PBEFFECT,https://a8qh.short.gy/HJB14,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1.5,,14,6.00,4.13,7.90,,,115,45%,5.92,23%,242,,,,
Hurache-X Jelly Bean 16mm,11SIX24,$104.99,PBEFFECT,https://a8qh.short.gy/HJB16,2024,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1.5,,16,6.00,4.13,8.14,,,122,83%,6.36,49%,242,,,,
Hurache-X Power,11SIX24,,PBEFFECT,Feb 2025,2025,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,,16,6.00,4.13,8.15,,,117,60%,6.40,52%,240,,,,
Monarch All Court,11SIX24,$139.99,PBEFFECT,https://a8qh.short.gy/MAC,2024,Widebody,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.75,4.13,8.10,Very High,1976,110,17%,7.40,97%,235,53.5,52%,34.0,56%
Monarch Control,11SIX24,$139.99,PBEFFECT,https://a8qh.short.gy/MC,2024,Widebody,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.75,4.13,8.16,Very High,1977,111,22%,7.44,97%,233,52.5,25%,33.6,39%
Monarch Control (14mm),11SIX24,$149.99,PBEFFECT,https://a8qh.short.gy/C14,2024,Widebody,Carbon/Kevlar,Raw Texture/Peel Ply,Gen 2,All-Court,14,5.75,4.13,8.08,Very High,1990,112,26%,7.10,90%,234,53.3,47%,34.8,88%
Monarch Jelly Bean (14mm),11SIX24,$99.99,PBEFFECT,https://a8qh.short.gy/JB14,2024,Widebody,Carbon,Raw Texture/Peel Ply,Gen 1.5,Power,14,5.75,4.13,8.14,Very High,2011,111,22%,7.00,87%,235,53.8,64%,34.5,77%
Monarch Jelly Bean (16mm),11SIX24,$99.99,PBEFFECT,https://a8qh.short.gy/JB,2024,Widebody,Carbon,Raw Texture/Peel Ply,Gen 1.5,Control,16,5.75,4.13,8.16,High,1950,111,22%,7.49,98%,236,52.8,31%,33.5,34%
Pegasus Power,11SIX24,,PBEFFECT,Feb 2025,2025,Widebody,Carbon,Raw Texture/Peel Ply,Gen 3,,16,5.75,4.13,8.33,,,111,22%,7.60,98%,233,,,,
