Company,Paddle,Price,Swing weight,Twist weight,Balance,My paddles weight,Core thickness in mm,Grip length,Grip thickness,RPM,Shape,Face Material,Core Material,Youtube Review,Link to purchase,Discount code,Aa ignore,No ID,Grams,
11six24,Jelly Bean Pegasus 16mm,99.99,112,7.29,236,8.24,16,5.75,4.125,1943,Wide body,"Fiberglass,Raw carbon fiber",Polymer Honeycomb,https://www.youtube.com/watch?v=wYG8LZAkUNc,https://bit.ly/3WR8lK8,PBSTUDIO $10 OFF,,413,233.5,
11six24,Jelly Bean Pegasus 14mm,99.99,109,6.91,232,8.11,14,5.75,4.125,1958,Wide body,"Fiberglass,Raw carbon fiber",Polymer Honeycomb,,https://bit.ly/3WR8lK8,PBSTUDIO $10 OFF,,411,229.91,
11six24,Jelly Bean Vapor 16mm,99.99,114,6.7,241,8.02,16,5.75,4.125,,Hybrid,"Fiberglass,Raw carbon fiber",Polymer Honeycomb,,https://bit.ly/4hjHzBT,PBSTUDIO $10 OFF,,498,227.32,
11six24,Jelly Bean Hurache-X 16mm,99.99,115,6.03,237,7.93,16,6,4.125,,Elongated,"Fiberglass,Raw carbon fiber",Polymer Honeycomb,,https://bit.ly/3EqVQhz,PBSTUDIO $10 OFF,,499,224.8,
11six24,All Court Pegasus 16mm,139.99,114,7.22,239,8.21,16,5.75,4.125,1910,Wide body,"Fiberglass,Raw carbon fiber",Polymer Honeycomb,,https://bit.ly/3YADvH4,PBSTUDIO $10 OFF,,414,232.82,
11six24,All Court Vapor 16mm,139.9,117,6.76,243,8.14,16,5.75,4.125,,Hybrid,"Fiberglass,Raw carbon fiber",Polymer Honeycomb,,https://bit.ly/4jRoAAc,PBSTUDIO $10 OFF,,500,230.85,
11six24,All Court Hurache-X 16mm,139.99,118,6.21,245,8.1,16,6,4.125,,Elongated,"Fiberglass,Raw carbon fiber",Polymer Honeycomb,,https://bit.ly/4gvONBB,PBSTUDIO $10 OFF,,501,229.7,
11six24,Power Pegasus 16mm,169.99,107,7.21,234,8.12,16,5.75,4.125,,Wide body,Raw carbon fiber,Polymer Honeycomb,https://www.youtube.com/watch?v=Sa0ZAQgxlS0&ab_channel=PickleballStudio,https://bit.ly/40Q2dT7,PBSTUDIO $10 OFF,,523,230.1,
11six24,Power Vapor 16mm,169.99,113,6.74,236,8.05,16,5.75,4.125,,Wide body,Raw carbon fiber,Polymer Honeycomb,https://www.youtube.com/watch?v=Sa0ZAQgxlS0&ab_channel=PickleballStudio,https://bit.ly/40SkzTs,PBSTUDIO $10 OFF,,524,228.2,
11six24,Power Hurache-X 16mm,169.99,117,6.25,237,8.25,16,5.75,4.125,,Elongated,Raw carbon fiber,Polymer Honeycomb,https://www.youtube.com/watch?v=Sa0ZAQgxlS0&ab_channel=PickleballStudio,https://bit.ly/3Etxhka,PBSTUDIO $10 OFF,,525,233.8,
Adidas,Drive 2,69.99,105,7.11,226,8.15,14,4.75,4.125,1790,Standard,Fiberglass,Polymer Honeycomb,,https://bit.ly/3HlC8lX,,,201,230.93,
Adidas,Match Light 2,69.99,96,6.68,221,7.65,14,4.75,4.125,1800,Standard,Fiberglass,Polymer Honeycomb,,https://bit.ly/3HlC8lX,,,202,216.88,
Adidas,AdiPower Attk 2,199.99,116,6,239,8.08,14,5,4.125,1038,Elongated,Carbon Fiber,Polymer Honeycomb,,https://bit.ly/3r5JGnX,,,235,229.2,
Adidas,AdiPower CTRL,199.99,111,6.82,233,8.02,14,5,4.125,1058,Standard,Carbon Fiber,Polymer Honeycomb,,https://bit.ly/3sHB2fU,,,237,227.3,
Adidas,Adipower Carbon Team,159.99,116,5.72,241,7.79,16,5.5,4.5,1624,Elongated,Carbon Fiber,Polymer Honeycomb,,https://bit.ly/45TIhQo,,,236,220.93,
Adidas,Metalbone,259.99,116,5.62,,0,13,5.5,4.125,1512,Elongated,Carbon Fiber,PMI Foam,https://youtu.be/b-2yPs6VOYE,https://bit.ly/3R7pBb3,,,287,,
Aiso,Centric 16mm,99.99,118,6.27,,0,16,5.3,4.125,1888,Elongated,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/3uqBccZ,,,345,,
Avoura,Rhapsody 13mm,225,105,7.18,233,8.02,13,5.25,4.125,,Wide body,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/42NkKSS,PBSTUDIO 10% OFF,,491,227.32,
Ballr,Ballr Pro,99.99,126,6.18,,0,16,6,4.5,1943,Elongated,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/3EwbbKq,,,231,,
Babolat,Wzrd,219,108,6.38,226,8.59,20,5,4,,Wide body,"(Paint Grit),Carbon Fiber",Polymer Honeycomb,,,,,535,243.42,
Babolat,Ballr+,219,111,6,234,8.33,16,5.5,4,,Hybrid,"(Paint Grit),Carbon Fiber",Polymer Honeycomb,,,,,536,236.04,
Babolat,Strikr+,219,121,6.26,245,8.18,13,5.5,4,,Elongated,"(Paint Grit),Carbon Fiber",Polymer Honeycomb,,,,,537,231.94,
Body Helix,X1,160,122,6.85,242,8.33,16,5.25,4.25,,Elongated,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/3PxrDkc,,,224,236.1,
Body Helix,X4 Kevlar,140,115,6.52,238,8.23,16,5.25,4.25,,Hybrid,Raw carbon fiber,Polymer Honeycomb,,,,,444,233.3,
Body Helix,X4 Carbon,140,116,6.54,235,8.2,16,5.25,4.25,,Hybrid,Raw carbon fiber,Polymer Honeycomb,,,,,445,232.5,
Body Helix,X5,140,116,7.23,239,8.13,16,5.7,4.25,,Standard,Kevlar,Polymer Honeycomb,,,,,442,230.59,
Bread & Butter,Filth,165,125,6.17,,0,16,5.5,4.25,1850,Elongated,Raw carbon fiber,Polymer Honeycomb,https://www.youtube.com/watch?v=FWzHyWSRzYE&ab_channel=PickleballStudio,https://bit.ly/3NzLoXm,PBSTUDIO 10% OFF,,193,,
Bread & Butter,Loco,165,113,6.13,,0,16,5.3,4.25,1826,Hybrid,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/41d19IS,PBSTUDIO 10% OFF,,297,,
Bread & Butter,Shogun,189.99,120,6.18,241,8.11,16,5.5,4.25,1956,Elongated,"Carbon Fiber,Titanium",Polymer Honeycomb,,https://bit.ly/3wAUhKi,PBSTUDIO 10% OFF,,381,229.91,
Bread & Butter,Fat Boy,189.99,109,7.19,231,8.1,16,5.3,4.25,,Standard,Kevlar,Polymer Honeycomb,,https://bit.ly/4aST9Bp,PBSTUDIO 10% OFF,,393,229.63,
CRBN,CRBN1 16mm,179.99,122,6.02,245,8.08,16,5.5,4.25,1650,Elongated,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/3QvMRQ6,PBSTUDIO 10% OFF,,222,229.2,
CRBN,CRBN1 14mm,179.99,120,5.67,243,7.95,14,5.5,4.25,1831,Elongated,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/3QsRKtb,PBSTUDIO 10% OFF,,254,225.3,
CRBN,CRBN1 13mm,179.99,118,5.46,,0,13,5.5,4.25,1845,Elongated,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/45e5xYO,PBSTUDIO 10% OFF,,255,,
CRBN,CRBN2 16mm,179.99,108,7.1,233,7.95,16,4.75,4.25,1680,Standard,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/3qiH99x,PBSTUDIO 10% OFF,,120,225.3,
CRBN,CRBN2 14mm,179.99,108,6.77,233,7.96,14,4.75,4.25,1932,Standard,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/3QmrLDQ,PBSTUDIO 10% OFF,,256,225.6,
CRBN,CRBN2 13mm,179.99,102,6.45,231,7.74,13,4.75,4.25,1900,Standard,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/3QwkRvJ,PBSTUDIO 10% OFF,,257,219.3,
CRBN,CRBN1X 16mm,229.99,123,6.45,240,8.11,16,5.5,4.25,1720,Elongated,Raw carbon fiber,Polymer Honeycomb,https://www.youtube.com/watch?v=PFoHhLyM4Cg&list=PLd8WdtbnlZd4HAyVxwWGC9CxlK2Kmruyc&index=28,https://bit.ly/3X1RSzR,PBSTUDIO 10% OFF,,135,229.9,
CRBN,CRBN1X 14mm,229.99,117,5.9,244,7.81,14,5.5,4.25,1786,Elongated,Raw carbon fiber,Polymer Honeycomb,https://www.youtube.com/watch?v=PFoHhLyM4Cg&list=PLd8WdtbnlZd4HAyVxwWGC9CxlK2Kmruyc&index=28,https://bit.ly/3Qfhpn3,PBSTUDIO 10% OFF,,136,221.5,PBSTUDIO
CRBN,CRBN2X 16mm,229.99,109,7.57,231,8.08,16,4.75,4.125,1847,Standard,Raw carbon fiber,Polymer Honeycomb,https://www.youtube.com/watch?v=PFoHhLyM4Cg&list=PLd8WdtbnlZd4HAyVxwWGC9CxlK2Kmruyc&index=28,https://bit.ly/3QbTUv0,PBSTUDIO 10% OFF,,137,229,
CRBN,CRBN2X 14mm,229.99,103,6.85,231,7.69,14,4.75,4.125,1843,Standard,Raw carbon fiber,Polymer Honeycomb,https://www.youtube.com/watch?v=PFoHhLyM4Cg&list=PLd8WdtbnlZd4HAyVxwWGC9CxlK2Kmruyc&index=28,https://bit.ly/3X0Ovcz,PBSTUDIO 10% OFF,,138,218.1,
CRBN,CRBN3X 16mm,229.99,118,6.52,238,7.98,16,5.25,4.25,1980,Elongated,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/3OrVh8m,PBSTUDIO 10% OFF,,252,226.2,
